Dokument ID,Jahr_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,seriell,Gender
00159-00,1840,N,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,f
00160-00,1840,N,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,
00161-00,1840,XE,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,f
00162-00,1840,N,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,f
00177-00,1828,E,Aglaja. Ein Taschenbuch für das Jahr 1829,Taschenbuch,False,
00178-00,1828,N,Aglaja. Ein Taschenbuch für das Jahr 1829,Taschenbuch,False,m
00179-00,1828,XE,Aglaja. Ein Taschenbuch für das Jahr 1829,Taschenbuch,False,m
00180-00,1828,0E,Aglaja. Ein Taschenbuch für das Jahr 1829,Taschenbuch,False,m
00184-00,1827,N,Taschenbuch für Damen. Auf das Jahr 1828.,Taschenbuch,False,m
00186-00,1829,E,Aglaja. Ein Taschenbuch für das Jahr 1830.,Taschenbuch,False,m
00187-00,1829,N,Aglaja. Ein Taschenbuch für das Jahr 1830.,Taschenbuch,False,m
00188-00,1829,0E,Aglaja. Ein Taschenbuch für das Jahr 1830.,Taschenbuch,False,
00220-00,1810,0E,Minerva Taschenbuch,Taschenbuch,False,
00255-00,1874,0E,(sonstiges Taschenbuch),Taschenbuch,False,f
00271-00,1817,0E,Taschenbuch für Damen,Taschenbuch,False,m
00272-00,1817,0E,Taschenbuch für Damen,Taschenbuch,False,m
00273-00,1817,0P,Taschenbuch für Damen,Taschenbuch,False,m
00279-00,1852,0E,Vielliebchen. Taschenbuch,Taschenbuch,False,f
00282-00,1818,E,Gaben der Milde,Taschenbuch,False,m
00284-00,1817,E,Gaben der Milde,Taschenbuch,False,
00286-00,1830,E,Rheinisches Taschenbuch,Taschenbuch,False,m
00290-00,1817,E,Taschenbuch für Damen,Taschenbuch,False,m
00295-00,1819,E,Taschenbuch für das Jahr 1820,Taschenbuch,False,unbekannt
00303-00,1816,E,Frauentaschenbuch,Taschenbuch,False,
00317-00,1830,E,Rheinisches Taschenbuch,Taschenbuch,False,m
00323-00,1817,XE,Frauentaschenbuch,Taschenbuch,False,
00330-00,1830,E,Rheinisches Taschenbuch,Taschenbuch,False,
00332-00,1848,E,Iris. Taschenbuch,Taschenbuch,False,
00395-00,1838,N,Urania. Taschenbuch,Taschenbuch,False,
00403-00,1840,N,Rheinisches Taschenbuch,Taschenbuch,False,f
00414-00,1871,N,Salon für Literatur,Taschenbuch,False,m
00486-00,1833,N,Urania. Taschenbuch,Taschenbuch,False,
00496-00,1848,N,Urania. Taschenbuch,Taschenbuch,False,f
00497-00,1844,N,Vergissmeinnicht. Taschenbuch.,Taschenbuch,False,m
00498-00,1845,N,Urania. Taschenbuch,Taschenbuch,False,m
00501-00,1844,N,Gedenke mein. Taschenbuch,Taschenbuch,False,f
00507-00,1848,N,Iris. Taschenbuch,Taschenbuch,False,m
00514-00,1826,N,Urania. Taschenbuch,Taschenbuch,False,unbekannt
00516-00,1819,E,Taschenbuch zum geselligen Vergnügen auf das Jahr 1820,Taschenbuch,False,unbekannt
00517-00,1811,0E,Taschenbuch zum geselligen Vergnügen auf das Jahr 1812,Taschenbuch,False,m
00518-00,1812,E,Taschenbuch der Liebe und Freundschaft gewidmet für das Jahr 1813,Taschenbuch,False,m
00519-00,1813,E,Taschenbuch der Liebe und Freundschaft gewidmet für das Jahr 1814,Taschenbuch,False,m
00524-00,1837,N,Deutsches Taschenbuch auf das Jahr,Taschenbuch,False,m
00542-00,1818,E,Urania. Ein Taschenbuch für das Jahr 1819,Taschenbuch,False,m
00605-00,1827,N,Orphea Taschenbuch für 1828.,Taschenbuch,False,
00638-00,1819,N,Taschenbuch zum geselligen Vergnügen auf das Jahr 1820,Taschenbuch,False,
00106-00,1874,0E,"Der Salon für Literatur, Kunst und Gesellschaft, Bd. 1",Zeitschrift,False,m
00008-00,1870,ungeklärt,Novellen-Cyclus der Frankfurter Zeitung,Zeitungsbeiheft,False,
00009-00,1871,XE,Novellen-Cyclus der Frankfurter Zeitung,Zeitungsbeiheft,False,
00010-00,1871,ungeklärt,Novellen-Cyclus der Frankfurter Zeitung,Zeitungsbeiheft,False,
00011-00,1871,ungeklärt,Novellen-Cyclus der Frankfurter Zeitung,Zeitungsbeiheft,False,
00012-00,1872,N,Novellen-Cyclus der Frankfurter Zeitung,Zeitungsbeiheft,False,
00164-00,,,,,False,f
00198-00,1854,0E,Die Gartenlaube,Familienblatt,True,f
00199-00,1855,0E,Die Gartenlaube,Familienblatt,True,
00208-00,1858,XE,Die Gartenlaube,Familienblatt,True,m
00210-00,1859,0E,Die Gartenlaube,Familienblatt,True,m
00212-00,1854,XE,Die Gartenlaube,Familienblatt,True,m
00213-00,1857,0E,Die Gartenlaube,Familienblatt,True,m
00228-00,1858,0E,Die Gartenlaube,Familienblatt,True,f
00230-00,1858,0E,Die Gartenlaube,Familienblatt,True,f
00232-00,1866,0E,Die Gartenlaube,Familienblatt,True,f
00233-00,1865,0E,Die Gartenlaube,Familienblatt,True,m
00237-00,1857,0E,Die Gartenlaube,Familienblatt,True,m
00238-00,1853,0E,Die Gartenlaube,Familienblatt,True,m
00239-00,1858,0E,Die Gartenlaube,Familienblatt,True,m
00240-00,1858,0E,Die Gartenlaube,Familienblatt,True,m
00241-00,1856,XE,Die Gartenlaube,Familienblatt,True,m
00242-00,1857,0E,Die Gartenlaube,Familienblatt,True,m
00243-00,1856,0E,Die Gartenlaube,Familienblatt,True,m
00244-00,1853,XE,Die Gartenlaube,Familienblatt,True,f
00246-00,1857,0E,Die Gartenlaube,Familienblatt,True,f
00248-00,1858,0E,Die Gartenlaube,Familienblatt,True,m
00251-00,1860,0E,Die Gartenlaube,Familienblatt,True,m
00257-00,1860,0E,Die Gartenlaube,Familienblatt,True,m
00265-00,1855,0E,Die Gartenlaube,Familienblatt,True,m
00277-00,1857,XE,Die Gartenlaube,Familienblatt,True,m
00278-00,1858,XE,Die Gartenlaube,Familienblatt,True,m
00283-00,1854,E,Die Gartenlaube,Familienblatt,True,m
00288-00,1853,XE,Die Gartenlaube,Familienblatt,True,m
00291-00,1855,E,Die Gartenlaube,Familienblatt,True,m
00318-00,1860,E,Die Gartenlaube,Familienblatt,True,m
00324-00,1857,E,Die Gartenlaube,Familienblatt,True,m
00325-00,1853,E,Die Gartenlaube,Familienblatt,True,m
00331-00,1856,E,Die Gartenlaube,Familienblatt,True,
00333-00,1859,E,Die Gartenlaube,Familienblatt,True,m
00334-00,1860,E,Die Gartenlaube,Familienblatt,True,m
00337-00,1853,E,Die Gartenlaube,Familienblatt,True,f
00339-00,1853,E,Die Gartenlaube,Familienblatt,True,f
00340-00,1857,N,Die Gartenlaube,Familienblatt,True,m
00341-00,1858,E,Die Gartenlaube,Familienblatt,True,m
00342-00,1859,E,Die Gartenlaube,Familienblatt,True,m
00343-00,1855,XE,Die Gartenlaube,Familienblatt,True,unbekannt
00344-00,1859,XE,Die Gartenlaube,Familienblatt,True,unbekannt
00384-00,1853,N,Die Gartenlaube,Familienblatt,True,unbekannt
00389-00,1857,N,Die Gartenlaube,Familienblatt,True,unbekannt
00390-00,1855,N,Die Gartenlaube,Familienblatt,True,unbekannt
00391-00,1856,N,Die Gartenlaube,Familienblatt,True,unbekannt
00392-00,1857,N,Die Gartenlaube,Familienblatt,True,unbekannt
00393-00,1856,N,Die Gartenlaube,Familienblatt,True,unbekannt
00394-00,1855,N,Die Gartenlaube,Familienblatt,True,unbekannt
00396-00,1860,N,Die Gartenlaube,Familienblatt,True,unbekannt
00405-00,1859,N,Die Gartenlaube,Familienblatt,True,m
00406-00,1858,N,Die Gartenlaube,Familienblatt,True,
00410-00,1856,N,Die Gartenlaube,Familienblatt,True,m
00411-00,1857,N,Die Gartenlaube,Familienblatt,True,m
00420-00,1874,N,Daheim. Ein deutsches Familienblatt mit Illustrationen.,Familienblatt,True,m
00443-00,1860,N,Die Gartenlaube,Familienblatt,True,m
00454-00,1855,N,Die Gartenlaube,Familienblatt,True,m
00459-00,1859,N,Die Gartenlaube,Familienblatt,True,m
00461-00,1858,N,Die Gartenlaube,Familienblatt,True,m
00477-00,1854,N,Die Gartenlaube,Familienblatt,True,
00482-00,1857,N,Die Gartenlaube,Familienblatt,True,m
00484-00,1888,N,Die Gartenlaube,Familienblatt,True,m
00499-00,1858,N,Die Gartenlaube,Familienblatt,True,m
00509-00,1860,N,Die Gartenlaube,Familienblatt,True,m
00563-00,1854,R,Die Gartenlaube,Familienblatt,True,m
00612-00,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 / Jg. 2.,Familienblatt,True,m
00612-01,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 / Jg. 2.,Familienblatt,True,m
00612-02,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 2 / Jg. 2,Familienblatt,True,
00612-03,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 3 / Jg. 2 ,Familienblatt,True,
00613-00,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 / Jg. 2.,Familienblatt,True,f
00614-00,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 / Jg. 2.,Familienblatt,True,f
00615-00,1866,0E,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 / Jg. 2.,Familienblatt,True,m
00616-00,1864,N,Daheim. Ein deutsches Familienblatt mit Illustrationen. Heft 1 ,Familienblatt,True,m
